C/A,YDS,TD,INT,CAR,YDS,TD,REC,YDS,TD,TAR,%ROST,+/-,TOT,AVG
0/0,0,0,0,0,0,0,0,0,0,0,0.7,-0.1,102.9,6.4
0/0,0,0,0,47,213,1,38,326,1,47,3.1,0.6,102.8,7.3
0/0,0,0,0,0,0,0,0,0,0,0,0.4,-0.1,102.8,6.4
0/0,0,0,0,0,0,0,43,439,3,60,5.3,-0.3,102.7,6.8
0/0,0,0,0,0,0,0,0,0,0,0,65.6,-3.6,102.4,6.4
0/0,0,0,0,99,442,2,22,170,1,28,16,-0.6,102.2,7.3
0/0,0,0,0,0,0,0,0,0,0,0,12.6,0.9,102,6.4
0/0,0,0,0,0,0,0,0,0,0,0,30.1,-0.3,101.8,6.4
0/0,0,0,0,0,0,0,0,0,0,0,13.3,0.9,100.7,6.3
0/0,0,0,0,0,0,0,34,466,3,60,2.5,0.1,99.5,6.6
0/0,0,0,0,0,0,0,42,394,3,62,0.8,0.2,98.9,6.6
0/0,0,0,0,0,0,0,0,0,0,0,22.8,2.1,98.4,6.2
0/0,0,0,0,0,0,0,42,412,2,62,3.2,0.1,98.1,6.5
0/0,0,0,0,0,0,0,36,440,3,59,3.2,-0.2,97.5,6.5
0/0,0,0,0,0,0,0,37,450,3,62,0.5,0.1,97.3,6.5
0/0,0,0,0,0,0,0,39,417,3,61,0.5,0.1,96.3,6.4
0/0,0,0,0,0,0,0,33,454,3,54,0.4,-0.1,95,6.3
0/0,0,0,0,0,0,0,33,391,4,52,15.4,1.6,94.7,6.8
0/0,0,0,0,0,0,0,38,411,3,62,2.1,-0.2,94.5,6.3
0/0,0,0,0,0,0,0,0,0,0,0,0.6,-0.1,94.5,5.9
0/0,0,0,0,83,359,3,20,157,1,27,8.1,-0.5,94.3,6.7
0/0,0,0,0,0,0,0,0,0,0,0,56.7,-12.1,92.9,5.8
0/0,0,0,0,67,276,2,30,230,1,39,2.5,0.4,92.2,6.6
0/0,0,0,0,56,236,2,26,243,1,35,2.4,-0.2,91.6,6.5
0/0,0,0,0,142,592,3,9,70,0,11,3.1,0.2,91.5,6.5
0/0,0,0,0,108,440,3,16,133,0,22,13.9,-0.4,91,6.5
0/0,0,0,0,5,32,0,39,395,1,57,1.2,-0.1,90.9,6.5
0/0,0,0,0,0,0,0,35,385,3,53,1.1,-0.1,90.5,6.5
0/0,0,0,0,0,0,0,35,340,3,53,2.6,0.2,89.4,6
